timestamp,epoch_seconds,power_draw_w,power_limit_w,gpu_utilization,memory_used_mb,temperature_gpu
2026-07-15T13:12:10.612404,222.61,6.8,0.0,21.0,0.0,40.0
2026-07-15T13:12:11.220859,223.219,6.78,0.0,23.0,0.0,40.0
2026-07-15T13:12:11.787128,223.785,6.78,0.0,19.0,0.0,40.0
2026-07-15T13:12:12.360817,224.359,6.77,0.0,21.0,0.0,40.0
2026-07-15T13:12:12.934619,224.933,6.8,0.0,21.0,0.0,40.0
2026-07-15T13:12:13.540925,225.539,6.76,0.0,21.0,0.0,40.0
2026-07-15T13:12:14.146150,226.144,6.78,0.0,20.0,0.0,40.0
2026-07-15T13:12:14.757177,226.755,6.74,0.0,21.0,0.0,40.0
2026-07-15T13:12:15.364553,227.362,6.8,0.0,22.0,0.0,40.0
2026-07-15T13:12:15.972131,227.97,6.78,0.0,21.0,0.0,40.0
2026-07-15T13:12:16.577398,228.575,6.77,0.0,24.0,0.0,40.0
2026-07-15T13:12:17.144465,229.142,6.77,0.0,21.0,0.0,40.0
2026-07-15T13:12:17.707345,229.705,6.78,0.0,23.0,0.0,40.0
2026-07-15T13:12:18.324181,230.322,6.76,0.0,21.0,0.0,40.0
2026-07-15T13:12:18.895411,230.893,6.8,0.0,25.0,0.0,40.0
2026-07-15T13:12:19.502727,231.501,6.77,0.0,22.0,0.0,40.0
2026-07-15T13:12:20.102964,232.101,6.79,0.0,23.0,0.0,40.0
2026-07-15T13:12:20.676506,232.674,6.78,0.0,21.0,0.0,40.0
2026-07-15T13:12:21.279090,233.277,6.8,0.0,25.0,0.0,40.0
2026-07-15T13:12:21.848455,233.846,6.77,0.0,19.0,0.0,40.0
2026-07-15T13:12:22.456146,234.454,6.76,0.0,21.0,0.0,39.0
2026-07-15T13:12:23.065289,235.063,6.77,0.0,21.0,0.0,40.0
2026-07-15T13:12:23.668050,235.666,6.77,0.0,22.0,0.0,39.0
2026-07-15T13:12:24.275084,236.273,6.78,0.0,18.0,0.0,39.0
2026-07-15T13:12:24.875755,236.874,6.74,0.0,21.0,0.0,39.0
2026-07-15T13:12:25.482508,237.48,6.74,0.0,21.0,0.0,39.0
2026-07-15T13:12:26.088005,238.086,6.74,0.0,21.0,0.0,39.0
2026-07-15T13:12:26.654994,238.653,6.81,0.0,23.0,0.0,39.0
2026-07-15T13:12:27.254591,239.253,7.06,0.0,15.0,0.0,39.0
2026-07-15T13:12:27.818322,239.816,7.15,0.0,17.0,0.0,39.0
